VD,North,East
1804114,6587310,664702
1804115,6587780,665194
1804116,6587620,665443
1804117,6587310,665926
1804118,6587130,666118
1804119,6586840,665787
1804120,6587230,666498
1804121,6587010,666402
1804122,6586950,666758
1804123,6586520,666490
1804124,6587160,665254
1804125,6587350,664339
1804126,6587350,663375
1804127,6586820,666321
1804128,6585850,665845
1804201,6589980,665492
1804202,6590180,665868
1804203,6591210,664770
1804204,6589730,664931
1804205,6588780,664518
1804206,6589740,666117
1804207,6588490,665600
1804208,6589420,666343
1804209,6588980,666218
1804210,6589110,666624
1804211,6589360,665823
1804212,6588630,666780
1804213,6588330,666975
1804214,6588650,666421
1804215,6587500,667156
1804216,6589510,666874
1804217,6588120,667163
1804218,6587930,666409
1804219,6588690,667762
1804220,6589300,666155
1270131,6569430,661841
1270132,6569740,662542
1270133,6569900,663465
1270134,6570400,662112
1270135,6570460,662689
1270136,6569820,662359
1270141,6570840,663468
1270142,6571070,662908
1270143,6571310,663037
1270144,6572200,663116
1270151,6572220,662111
1270152,6571450,662248
1270153,6570830,661554
1270154,6570850,661207
1270155,6571210,660701
1270156,6571910,660498
1270157,6570830,660864
1270158,6570850,660526
1270159,6570850,660187
1270160,6570410,660704
1270161,6570970,658360
1270226,6564760,659851
1270227,6562100,659471
1270228,6557030,659768
1270229,6562390,660550
1270313,6566940,659733
1270314,6565450,661566
1270315,6564380,660785
1270316,6563840,661272
1270317,6563490,662345
1270318,6565080,661949
1270319,6564480,663896
1270320,6565320,662813
1270321,6567660,660748
1270322,6566390,661605
1270323,6566800,661767
1270324,6567360,663061
1270501,6566560,664982
1270502,6567140,666259
1270503,6568030,664689
1270504,6567390,665795
1270505,6567530,665159
1270506,6566720,665894
1270507,6566690,666613
1270508,6562510,667417
1270509,6566030,666267
1270510,6568510,666027
1270511,6567910,666650
1270512,6565270,666209
1280101,6567890,656052
1280102,6564020,656002
1280103,6565610,657345
1280104,6566090,657736
1280105,6566120,658356
1280106,6565080,657769
1280107,6565280,658340
1280108,6565800,659178
1400136,6565460,640966
1400137,6559010,636944
1400138,6559520,640688
1400139,6562190,636098
1400234,6565900,632647
1810101,6562180,651139
1810102,6562970,650125
1810103,6563030,649625
1810104,6563260,649032
1810105,6563680,649774
1810106,6563920,648978
1810107,6563950,649453
1810108,6564520,650141
1810109,6564480,648755
1810110,6564540,649553
1810111,6565660,649535
1810112,6565030,648957
1810113,6565210,649282
1810152,6564990,648405
1810215,6564950,653682
1810216,6561530,654122
1810217,6564310,652450
1810218,6564310,651099
1810219,6564920,650667
1810220,6565250,651423
1810221,6565870,650138
1810222,6566510,652244
1810223,6566730,650660
1810224,6566830,650334
1810225,6566620,649742
1810226,6564880,652190
1810227,6568800,649078
1810228,6569960,650563
1810330,6559270,651117
1810331,6562780,648776
1810332,6562460,649002
1810333,6560090,645989
1810435,6570740,644364
1810436,6574990,638029
1810640,6549340,636939
1810741,6552640,647198
1810742,6554550,647097
1810743,6553560,646035
1810745,6553550,642445
1810848,6540830,651429
1811047,6545230,643709
1811250,6563800,646713
1811251,6564740,647327
1811253,6565260,647918
1811254,6565330,647249
1811255,6565950,648225
1811256,6565720,648553
1811257,6566850,646493
1811258,6568050,647685
1260101,6572370,670379
1260102,6571950,669693
1260103,6571360,669872
1260104,6571150,668856
1260105,6570620,668042
1260106,6571450,670952
1260107,6570840,673356
1260108,6571230,671669
1260109,6570280,672045
1260110,6570660,671040
1260111,6570680,670474
1260112,6570280,670337
1260113,6569910,671184
1260114,6569900,670277
1260115,6569220,670034
1260116,6568680,670822
1260117,6568490,672219
1260118,6570280,669722
1260119,6572280,671299
1260120,6571830,672179
1260121,6572640,669586
1260122,6563830,672749
1260123,6569550,668667
1260201,6568090,675531
1260202,6570080,678618
1260203,6569880,679076
1260204,6570780,678787
1260205,6568940,679479
1260206,6568610,679798
1260207,6568520,679347
1260208,6568130,680125
1260209,6568420,680259
1260210,6569020,680431
1260211,6568090,680993
1260212,6569590,679497
1260213,6570020,680411
1260214,6566770,678454
1260301,6575160,667416
1260302,6574750,668076
1260303,6572860,666879
1260304,6573230,664675
1260305,6573260,664496
1260306,6573420,663354
1260307,6571490,665075
1260308,6570900,664386
1260309,6572770,668960
1260310,6572250,668587
1260311,6574320,667184
1260312,6574600,666688
1260313,6573060,664221
1260401,6569900,666060
1260402,6568690,668090
1260403,6568520,668223
1260404,6568910,668052
1260405,6568110,669041
1260406,6567930,668561
1260407,6566980,668843
1260408,6569140,667080
1260409,6568080,667516
1260410,6567270,667793
1360101,6567180,684767
1360102,6566570,681226
1360103,6564940,680727
1360104,6565670,679139
1360105,6565670,683921
1360106,6565430,682555
1360107,6564910,681487
1360108,6564460,682165
1360109,6564490,685660
1360110,6564190,681238
1360111,6563920,678253
1360112,6563940,681674
1360113,6563580,681569
1360114,6563090,681552
1360115,6566840,683163
1360116,6563330,680746
1360117,6563510,681170
1360118,6562760,680924
1360119,6563570,680163
1360120,6563270,679515
1360121,6562820,680033
1360123,6562870,679469
1360124,6564620,679460
1360125,6563620,679612
1360131,6559990,679659
1360132,6560000,679106
1360133,6559620,678981
1360134,6559530,679617
1360140,6560540,680141
1360144,6562170,679219
1360145,6562420,679553
1360146,6562410,680125
1360147,6561730,679915
1360148,6560700,678388
1360537,6562570,696468
1360649,6559210,673558
1360650,6553670,671631
1360651,6558500,675846
1360652,6558220,670697
1360653,6559380,677326
1360654,6558310,677672
1360655,6556660,676942
1360656,6560230,684141
1360657,6556350,677911
1360658,6542310,691539
1360659,6550430,674696
1360760,6544420,680944
1920101,6529840,668620
1920102,6531880,669656
1920103,6532130,668311
1920104,6532780,669424
1920105,6532890,669035
1920107,6530670,671821
1920108,6533800,669626
1920109,6533750,668992
1920110,6534300,670493
1920111,6535630,668953
1920218,6534080,658284
1920219,6544810,660562
1920220,6550750,663877
1920317,6518440,664485
1920413,6542140,665837
1920414,6541960,665057
1920415,6523160,669693
1920416,6545160,670279
1200101,6581600,706579
1200102,6576080,705073
1200103,6589210,698383
1200104,6580990,698695
1200105,6580110,697520
1200106,6581980,701788
1200107,6581520,697858
1200108,6578790,698887
1200301,6592620,728112
1200302,6580770,710361
1200303,6569620,717682
1200501,6577070,693514
1200502,6571300,703578
1200503,6575980,698695
1200504,6572030,697696
1200601,6582790,692528
1200602,6580940,693109
1200603,6582100,693570
1200604,6581120,690739
1200605,6580960,694071
1200606,6582890,695416
1200607,6580510,691592
1200608,6580650,696108
1200609,6579660,694995
1200610,6579440,691379
1380101,6571900,683961
1380102,6572150,684544
1380103,6571620,684403
1380104,6571140,684066
1380105,6571210,685567
1380106,6570760,685080
1380107,6569880,685772
1380108,6572460,685414
1380109,6571310,686148
1380110,6572360,687805
1380111,6571590,687286
1380112,6567460,689728
1380113,6569060,693821
1380121,6568930,681761
1380122,6568250,682970
1380123,6569480,682318
1380124,6569210,684512
1380125,6569520,683254
1380126,6570620,682749
1380127,6571710,682905
1380128,6571380,683749
1380129,6570870,684387
1380130,6570550,683585
1380131,6570230,684470
1380132,6571880,683550
1820101,6579250,677096
1820102,6578860,677424
1820103,6578610,678011
1820104,6579370,677674
1820105,6578750,678861
1820106,6578170,677730
1820107,6577590,679116
1820108,6578790,679846
1820109,6578940,680514
1820110,6579990,681034
1820111,6579680,680414
1820112,6579200,681482
1820113,6578480,681825
1820114,6581010,682426
1820115,6579600,682593
1820116,6577960,677951
1820117,6577970,683165
1820118,6578350,680589
1820121,6575300,682632
1820122,6573730,681677
1820123,6573160,681006
1820124,6572630,680975
1820125,6572940,681951
1820126,6572640,682469
1820141,6579440,678438
1820142,6579590,678841
1820143,6579540,679581
1820132,6577280,684921
1820133,6577480,685532
1820134,6576840,685631
1820135,6577190,685280
1820201,6577820,688111
1820202,6577360,686663
1820204,6575860,687035
1820205,6575600,688696
1820206,6573530,690531
1820301,6580720,683850
1820302,6579950,684863
1820303,6579240,684766
1820304,6579480,687215
1820305,6578430,686067
1820306,6580390,686131
1820307,6581360,684671
1820309,6580840,685163
1820310,6581500,685366
1820311,6581690,686227
1820312,6582610,684764
1820314,6582380,689055
1820315,6581360,687263
1820316,6578690,683654
1820317,6578070,684347
1820318,6584970,688514
1860101,6587450,676583
1860102,6587100,677635
1860103,6585870,678478
1860104,6586050,678911
1860105,6586100,679685
1860106,6586830,680536
